nta,ADMINISTRATION OF GOVERNMENT,CORE INFRASTRUCTURE AND TRANSPORTATION,"EDUCATION, CHILD WELFARE, AND YOUTH",HEALTH AND HUMAN SERVICES,LIBRARIES AND CULTURAL PROGRAMS,"PARKS, GARDENS, AND HISTORICAL SITES","PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE"
BK09,23.0,16.0,54.0,44.0,15.0,22.0,3.0
BK17,14.0,14.0,74.0,22.0,7.0,9.0,1.0
BK19,2.0,5.0,63.0,32.0,4.0,6.0,2.0
BK21,27.0,20.0,62.0,39.0,8.0,18.0,2.0
BK23,3.0,9.0,22.0,8.0,2.0,3.0,2.0
BK25,10.0,1.0,62.0,28.0,1.0,8.0,3.0
BK26,6.0,14.0,47.0,9.0,1.0,9.0,0.0
BK27,6.0,2.0,30.0,8.0,2.0,4.0,1.0
BK28,3.0,8.0,96.0,19.0,4.0,8.0,1.0
BK29,7.0,8.0,68.0,9.0,3.0,10.0,2.0
BK30,4.0,1.0,44.0,5.0,4.0,4.0,1.0
BK31,10.0,10.0,84.0,20.0,12.0,20.0,3.0
BK32,41.0,31.0,97.0,41.0,13.0,14.0,5.0
BK33,28.0,27.0,78.0,23.0,22.0,29.0,7.0
BK34,9.0,17.0,111.0,50.0,1.0,8.0,1.0
BK35,17.0,3.0,147.0,45.0,4.0,29.0,3.0
BK37,18.0,34.0,134.0,25.0,44.0,27.0,3.0
BK38,72.0,55.0,155.0,114.0,42.0,50.0,12.0
BK40,2.0,4.0,44.0,1.0,11.0,11.0,1.0
BK41,1.0,2.0,41.0,10.0,1.0,6.0,0.0
BK42,11.0,14.0,118.0,53.0,17.0,15.0,4.0
BK43,8.0,3.0,80.0,25.0,3.0,7.0,0.0
BK44,2.0,0.0,44.0,13.0,1.0,6.0,1.0
BK45,13.0,9.0,42.0,6.0,5.0,10.0,1.0
BK46,0.0,2.0,23.0,10.0,2.0,4.0,0.0
BK50,18.0,15.0,122.0,26.0,3.0,8.0,3.0
BK58,21.0,12.0,49.0,27.0,3.0,15.0,2.0
BK60,9.0,7.0,115.0,85.0,11.0,14.0,2.0
BK61,38.0,19.0,230.0,106.0,21.0,32.0,5.0
BK63,15.0,7.0,92.0,14.0,6.0,4.0,1.0
BK64,6.0,9.0,29.0,7.0,4.0,10.0,3.0
BK68,8.0,11.0,51.0,30.0,42.0,25.0,3.0
BK69,5.0,5.0,78.0,25.0,17.0,25.0,1.0
BK72,3.0,3.0,107.0,21.0,3.0,14.0,1.0
BK73,9.0,34.0,73.0,20.0,19.0,42.0,5.0
BK75,20.0,5.0,163.0,53.0,6.0,36.0,4.0
BK76,5.0,36.0,36.0,9.0,13.0,15.0,2.0
BK77,6.0,11.0,102.0,38.0,8.0,11.0,5.0
BK78,20.0,13.0,143.0,76.0,7.0,23.0,3.0
BK79,11.0,4.0,64.0,50.0,2.0,23.0,3.0
BK81,12.0,15.0,152.0,59.0,5.0,35.0,4.0
BK82,71.0,50.0,186.0,109.0,6.0,57.0,6.0
BK83,3.0,13.0,46.0,18.0,5.0,8.0,0.0
BK85,17.0,13.0,82.0,37.0,1.0,15.0,3.0
BK88,19.0,13.0,274.0,40.0,3.0,8.0,3.0
BK90,14.0,31.0,53.0,33.0,7.0,19.0,1.0
BK91,9.0,3.0,80.0,32.0,5.0,4.0,0.0
BK93,0.0,0.0,26.0,8.0,1.0,1.0,0.0
BK95,5.0,1.0,55.0,15.0,2.0,4.0,2.0
BK96,13.0,6.0,91.0,20.0,4.0,9.0,1.0
BK99,12.0,11.0,20.0,4.0,14.0,26.0,2.0
BX01,22.0,10.0,123.0,47.0,2.0,14.0,6.0
BX03,20.0,13.0,55.0,18.0,2.0,6.0,2.0
BX05,7.0,14.0,47.0,35.0,3.0,9.0,2.0
BX06,5.0,15.0,50.0,29.0,2.0,6.0,1.0
BX07,1.0,3.0,41.0,27.0,1.0,6.0,0.0
BX08,1.0,7.0,41.0,12.0,2.0,7.0,0.0
BX09,27.0,27.0,94.0,30.0,3.0,15.0,3.0
BX10,8.0,9.0,22.0,11.0,3.0,9.0,1.0
BX13,13.0,26.0,44.0,20.0,2.0,2.0,2.0
BX14,33.0,15.0,106.0,46.0,3.0,8.0,3.0
BX17,24.0,16.0,99.0,49.0,1.0,27.0,1.0
BX22,8.0,10.0,53.0,18.0,7.0,21.0,1.0
BX26,10.0,17.0,65.0,39.0,4.0,21.0,4.0
BX27,29.0,61.0,68.0,37.0,5.0,20.0,5.0
BX28,4.0,12.0,59.0,18.0,9.0,16.0,1.0
BX29,4.0,14.0,42.0,14.0,2.0,9.0,1.0
BX30,9.0,7.0,29.0,13.0,1.0,8.0,0.0
BX31,6.0,2.0,29.0,16.0,0.0,3.0,1.0
BX33,3.0,6.0,64.0,52.0,0.0,11.0,0.0
BX34,11.0,22.0,137.0,121.0,3.0,25.0,8.0
BX35,11.0,10.0,97.0,59.0,3.0,31.0,5.0
BX36,8.0,16.0,78.0,38.0,6.0,20.0,1.0
BX37,18.0,29.0,45.0,62.0,5.0,6.0,4.0
BX39,21.0,38.0,174.0,84.0,4.0,31.0,3.0
BX40,1.0,10.0,58.0,21.0,0.0,4.0,2.0
BX41,13.0,20.0,68.0,81.0,2.0,25.0,2.0
BX43,4.0,14.0,47.0,50.0,4.0,8.0,1.0
BX44,17.0,4.0,93.0,34.0,2.0,7.0,3.0
BX46,0.0,4.0,24.0,9.0,2.0,4.0,0.0
BX49,1.0,10.0,29.0,25.0,3.0,3.0,2.0
BX52,25.0,1.0,61.0,12.0,2.0,11.0,4.0
BX55,3.0,2.0,38.0,11.0,0.0,7.0,0.0
BX59,35.0,16.0,22.0,18.0,3.0,9.0,1.0
BX62,9.0,7.0,29.0,21.0,2.0,2.0,2.0
BX63,32.0,24.0,67.0,42.0,4.0,12.0,2.0
BX75,4.0,11.0,65.0,19.0,0.0,12.0,0.0
BX98,0.0,2.0,7.0,9.0,0.0,0.0,10.0
BX99,1.0,8.0,13.0,1.0,7.0,14.0,2.0
MN01,19.0,26.0,89.0,32.0,10.0,8.0,1.0
MN03,21.0,26.0,162.0,125.0,24.0,59.0,5.0
MN04,5.0,10.0,41.0,19.0,13.0,24.0,2.0
MN06,11.0,9.0,52.0,26.0,10.0,14.0,1.0
MN09,2.0,11.0,93.0,61.0,33.0,32.0,2.0
MN11,8.0,13.0,111.0,110.0,24.0,27.0,1.0
MN12,2.0,51.0,145.0,46.0,71.0,45.0,5.0
MN13,15.0,97.0,133.0,140.0,120.0,60.0,8.0
MN14,2.0,48.0,75.0,35.0,52.0,46.0,1.0
MN15,13.0,71.0,67.0,52.0,72.0,21.0,5.0
MN17,15.0,103.0,187.0,98.0,175.0,156.0,5.0
MN19,16.0,102.0,57.0,28.0,27.0,93.0,3.0
MN20,11.0,76.0,63.0,51.0,23.0,57.0,3.0
MN21,5.0,30.0,55.0,37.0,16.0,21.0,0.0
MN22,5.0,11.0,48.0,32.0,70.0,40.0,3.0
MN23,6.0,57.0,87.0,52.0,90.0,68.0,5.0
MN24,90.0,50.0,103.0,71.0,100.0,70.0,9.0
MN25,68.0,81.0,105.0,89.0,55.0,112.0,4.0
MN27,63.0,25.0,114.0,56.0,36.0,42.0,14.0
MN28,13.0,10.0,156.0,96.0,39.0,56.0,5.0
MN31,23.0,114.0,62.0,63.0,16.0,63.0,1.0
MN32,6.0,80.0,61.0,12.0,9.0,43.0,0.0
MN33,9.0,27.0,165.0,91.0,23.0,24.0,3.0
MN34,26.0,20.0,157.0,135.0,15.0,43.0,6.0
MN35,2.0,23.0,87.0,32.0,24.0,15.0,2.0
MN36,7.0,16.0,97.0,86.0,21.0,27.0,5.0
MN40,3.0,76.0,87.0,17.0,33.0,63.0,3.0
MN50,0.0,6.0,3.0,0.0,0.0,1.0,0.0
MN99,5.0,8.0,5.0,10.0,5.0,29.0,2.0
QN01,27.0,10.0,65.0,24.0,2.0,11.0,1.0
QN02,5.0,2.0,58.0,9.0,2.0,3.0,1.0
QN03,29.0,24.0,20.0,2.0,0.0,4.0,1.0
QN05,23.0,8.0,17.0,3.0,1.0,6.0,3.0
QN06,5.0,10.0,38.0,16.0,2.0,4.0,0.0
QN07,1.0,3.0,34.0,12.0,1.0,4.0,1.0
QN08,33.0,8.0,74.0,18.0,13.0,8.0,1.0
QN10,33.0,9.0,35.0,15.0,3.0,13.0,1.0
QN12,18.0,11.0,65.0,24.0,2.0,18.0,5.0
QN15,26.0,4.0,100.0,57.0,4.0,20.0,2.0
QN17,18.0,24.0,92.0,54.0,9.0,14.0,2.0
QN18,6.0,4.0,32.0,11.0,2.0,7.0,0.0
QN19,8.0,1.0,36.0,6.0,1.0,9.0,1.0
QN20,12.0,15.0,62.0,13.0,5.0,25.0,3.0
QN21,16.0,2.0,29.0,3.0,3.0,6.0,1.0
QN22,12.0,30.0,115.0,34.0,16.0,22.0,3.0
QN23,85.0,19.0,12.0,13.0,2.0,11.0,1.0
QN25,13.0,4.0,45.0,4.0,1.0,9.0,1.0
QN26,3.0,1.0,46.0,20.0,3.0,12.0,2.0
QN27,8.0,7.0,27.0,7.0,4.0,7.0,1.0
QN28,17.0,11.0,72.0,39.0,7.0,16.0,3.0
QN29,20.0,5.0,61.0,36.0,6.0,22.0,4.0
QN30,22.0,7.0,26.0,2.0,3.0,17.0,2.0
QN31,66.0,78.0,111.0,47.0,25.0,29.0,7.0
QN33,2.0,3.0,28.0,5.0,1.0,3.0,0.0
QN34,20.0,17.0,48.0,16.0,1.0,8.0,2.0
QN35,5.0,5.0,52.0,39.0,3.0,5.0,1.0
QN37,3.0,2.0,70.0,11.0,5.0,8.0,0.0
QN38,3.0,3.0,39.0,21.0,4.0,5.0,4.0
QN41,1.0,0.0,17.0,2.0,2.0,6.0,1.0
QN42,1.0,0.0,31.0,4.0,3.0,9.0,1.0
QN43,3.0,0.0,34.0,30.0,3.0,6.0,0.0
QN44,2.0,1.0,20.0,13.0,1.0,4.0,1.0
QN45,16.0,2.0,28.0,12.0,3.0,20.0,1.0
QN46,10.0,3.0,59.0,10.0,3.0,12.0,2.0
QN47,6.0,3.0,13.0,2.0,5.0,9.0,1.0
QN48,2.0,3.0,22.0,10.0,3.0,0.0,1.0
QN49,17.0,5.0,30.0,1.0,2.0,7.0,1.0
QN50,9.0,11.0,43.0,11.0,1.0,9.0,1.0
QN51,7.0,0.0,52.0,8.0,5.0,10.0,1.0
QN52,4.0,1.0,27.0,14.0,3.0,4.0,0.0
QN53,19.0,10.0,44.0,4.0,2.0,8.0,1.0
QN54,15.0,16.0,57.0,38.0,4.0,11.0,4.0
QN55,25.0,15.0,65.0,14.0,2.0,11.0,1.0
QN56,16.0,7.0,19.0,1.0,1.0,9.0,1.0
QN57,42.0,4.0,25.0,6.0,2.0,6.0,1.0
QN60,23.0,9.0,30.0,8.0,2.0,6.0,3.0
QN61,50.0,56.0,109.0,127.0,13.0,20.0,5.0
QN62,3.0,3.0,9.0,6.0,1.0,2.0,0.0
QN63,11.0,8.0,42.0,21.0,9.0,12.0,1.0
QN66,10.0,2.0,35.0,8.0,1.0,3.0,1.0
QN68,5.0,13.0,54.0,32.0,3.0,8.0,2.0
QN70,16.0,11.0,90.0,22.0,14.0,9.0,4.0
QN71,1.0,7.0,47.0,26.0,2.0,7.0,1.0
QN72,14.0,15.0,35.0,2.0,11.0,16.0,2.0
QN76,15.0,8.0,64.0,19.0,2.0,5.0,1.0
QN98,7.0,10.0,0.0,0.0,0.0,2.0,0.0
QN99,15.0,27.0,3.0,1.0,4.0,18.0,3.0
SI01,27.0,7.0,43.0,13.0,0.0,24.0,1.0
SI05,45.0,35.0,59.0,32.0,3.0,19.0,4.0
SI07,15.0,1.0,19.0,2.0,1.0,8.0,2.0
SI08,9.0,1.0,25.0,4.0,6.0,9.0,0.0
SI11,44.0,14.0,27.0,4.0,3.0,17.0,2.0
SI12,55.0,38.0,33.0,19.0,2.0,9.0,2.0
SI14,7.0,0.0,26.0,8.0,1.0,9.0,3.0
SI22,70.0,44.0,78.0,67.0,16.0,34.0,9.0
SI24,17.0,5.0,37.0,13.0,6.0,22.0,2.0
SI25,16.0,2.0,19.0,0.0,0.0,4.0,0.0
SI28,25.0,21.0,44.0,37.0,2.0,7.0,1.0
SI32,17.0,1.0,13.0,1.0,2.0,4.0,3.0
SI35,8.0,1.0,47.0,28.0,4.0,7.0,1.0
SI36,26.0,4.0,27.0,36.0,2.0,6.0,1.0
SI37,28.0,14.0,48.0,51.0,7.0,19.0,2.0
SI45,19.0,2.0,33.0,5.0,1.0,5.0,1.0
SI48,11.0,1.0,9.0,0.0,0.0,6.0,0.0
SI54,28.0,4.0,29.0,7.0,3.0,7.0,1.0
SI99,1.0,0.0,0.0,0.0,0.0,0.0,0.0
