,yearbuilt,assesstot,longitude,latitude,Cluster
32,1983.0,43605009.0,-74.00512890000002,40.7063613,3
33,1993.0,79710304.0,-74.00437149999999,40.7068609,2
157,1982.0,67828953.0,-73.9774931,40.7613751,3
394,1998.0,351934650.0,-73.9857642,40.756021399999995,2
424,2015.0,90835087.0,-73.98056700000001,40.7669584,2
425,1989.0,61250858.0,-73.984262,40.774221600000004,3
439,1987.0,181755900.0,-74.0085048,40.7062404,3
491,2005.0,24811671.0,-73.9793172,40.757540999999996,2
857,1984.0,58536314.0,-73.97183620000001,40.745155100000005,3
960,1967.0,86879250.0,-73.99795429999999,40.7267934,3
1070,2007.0,82187865.0,-73.9667518,40.7947101,2
1976,1968.0,192125700.0,-73.9755455,40.756623499999996,3
1977,1967.0,130972050.0,-73.9753936,40.7573701,3
2455,2006.0,49054537.0,-74.01709620000001,40.7062284,2
2458,2013.0,16586551.0,-74.0059696,40.710451,2
2477,2016.0,10147043.0,-74.00476809999999,40.7054995,2
2875,1925.0,139162329.0,-73.9811849,40.7647188,0
2967,2016.0,75136050.0,-73.9918044,40.7726771,2
3131,1974.0,70344900.0,-73.9376821,40.7908856,3
3316,1975.0,60348125.0,-73.9697572,40.7617109,3
3421,1974.0,57502006.0,-73.9542451,40.773327,3
3528,1927.0,21637800.0,-74.0124398,40.7062318,0
3647,2004.0,16419150.0,-73.9464012,40.7803996,2
3680,2013.0,26712451.0,-73.9590406,40.7425191,2
3957,1962.0,70149600.0,-73.96079820000001,40.76687929999999,3
4034,2003.0,33600160.0,-73.96607,40.7576559,2
4043,2010.0,83192419.0,-73.9838129,40.750098,2
4239,2006.0,11849850.0,-73.9929543,40.756324,2
4303,2019.0,253884150.0,-74.00010470000001,40.7545346,2
5265,2008.0,83209513.0,-73.990786,40.774488500000004,2
5473,2002.0,21367347.0,-73.9655917,40.7541727,2
5834,1971.0,19541250.0,-73.9668862,40.7930523,3
5958,1988.0,48875850.0,-74.0059773,40.715819700000004,3
6413,1929.0,28846800.0,-73.9941036,40.698181899999994,0
7798,1988.0,96549750.0,-73.9796362,40.7648421,3
7799,1987.0,23948550.0,-73.98496490000001,40.763218,3
7891,1999.0,52873684.0,-73.9606793,40.7603742,2
7935,1939.0,62364150.0,-73.9784812,40.7642627,0
7936,1969.0,43008750.0,-73.979753,40.7723984,3
8226,2013.0,15340050.0,-73.9917308,40.755261700000005,2
8279,1988.0,22512605.0,-73.9706887,40.7530844,3
8302,1990.0,32305947.0,-73.96714940000001,40.757324100000005,3
8307,1969.0,96242400.0,-73.98787359999999,40.7477737,3
8323,2013.0,54142651.0,-73.9523729,40.7912302,2
8335,1986.0,66402450.0,-73.98334090000002,40.7755664,3
10844,1937.0,23260050.0,-73.97643199999999,40.750459,0
11026,2015.0,63428415.0,-73.9700052,40.764055,2
11045,2005.0,90285430.0,-73.99014,40.748723600000005,2
11366,1930.0,49350150.0,-73.96299259999999,40.7743814,0
11450,2007.0,25842150.0,-74.006752,40.7070831,2
11481,2003.0,82865250.0,-74.0069324,40.7074097,2
12054,1956.0,58251600.0,-74.006745,40.7087739,3
13038,1928.0,39505500.0,-73.9812175,40.751538599999996,0
13194,1974.0,49800600.0,-73.94813959999999,40.796805600000006,3
13215,2015.0,162364950.0,-73.9926712,40.7704347,2
13664,2003.0,69166676.0,-74.0175252,40.7055724,2
13903,1964.0,16404750.0,-73.8508422,40.7283464,3
14538,2009.0,28926450.0,-73.9849672,40.6889559,2
16465,1979.0,58842000.0,-73.95669140000001,40.770262100000004,3
16642,1935.0,25300800.0,-74.0118516,40.7043105,0
16941,2006.0,9978745.0,-73.9786355,40.68825220000001,2
18553,2020.0,17667900.0,-73.9617481,40.73467279999999,2
19935,2004.0,8379000.0,-73.99070329999999,40.746283500000004,2
20968,2001.0,29385450.0,-73.9598638,40.7599485,2
21164,1969.0,81850950.0,-73.9693165,40.7622186,3
21535,1912.0,30641400.0,-74.0078016,40.707085799999994,0
22690,1963.0,131844150.0,-73.979359,40.750745,3
22723,1967.0,13135950.0,-73.9614135,40.776692,3
22859,1973.0,6331050.0,-73.8846033,40.846439000000004,3
23679,1969.0,27099447.0,-73.97635129999999,40.7644572,3
24058,1981.0,64328850.0,-73.9696052,40.7625398,3
28800,2001.0,402504766.0,-73.96763100000001,40.761575799999996,2
28835,2012.0,102382672.0,-73.97179679999999,40.7615001,2
28861,1983.0,20225703.0,-73.9630135,40.7561508,3
28923,1992.0,84064501.0,-73.9712766,40.7623206,3
28934,1998.0,17216565.0,-73.96917890000002,40.763217600000004,2
28952,1927.0,24068443.0,-74.0068567,40.7081426,0
28956,2014.0,52419262.0,-73.9919837,40.7230246,2
28961,1967.0,50950283.0,-73.9659896,40.7525205,3
28997,1969.0,54444600.0,-73.9566686,40.7829675,3
29019,1927.0,46147512.0,-73.97009940000001,40.763278299999996,0
29021,1991.0,49865921.0,-73.95418670000001,40.779478000000005,3
29022,1987.0,32291563.0,-73.95977579999999,40.7800729,3
29024,2005.0,56172335.0,-73.9479718,40.7851295,2
29030,1987.0,29627559.0,-73.95240229999999,40.7805093,3
29033,2000.0,19439075.0,-74.005634,40.708373200000004,2
29057,1998.0,61101899.0,-74.0150285,40.717718299999994,2
29486,1979.0,77761350.0,-73.97142690000001,40.7655046,3
29571,1973.0,39258000.0,-73.9569363,40.78221,3
40226,1965.0,78511500.0,-74.0079821,40.708658500000006,3
40246,2017.0,38050200.0,-74.0063446,40.7091115,2
40272,1912.0,42336000.0,-74.0071418,40.709322799999995,0
40315,1972.0,93264750.0,-73.9713275,40.7614945,3
62713,1972.0,30162604.0,-73.9640026,40.7560029,3
63680,1931.0,44264700.0,-73.96311180000001,40.7546385,0
63689,1974.0,8163900.0,-73.9619835,40.7584698,3
63717,1974.0,28080900.0,-73.9636964,40.754935100000004,3
63726,1982.0,74514600.0,-73.96353,40.7556762,3
63783,1970.0,23681700.0,-73.9504413,40.7759879,3
64589,1985.0,32594850.0,-73.9492396,40.7846799,3
64602,2013.0,25560900.0,-73.9754972,40.681966100000004,2
64637,2019.0,22882050.0,-73.97417370000001,40.6827178,2
64680,2015.0,11062350.0,-73.9784056,40.7617523,2
67107,1972.0,17928000.0,-73.9860432,40.7162445,3
67392,1997.0,19303650.0,-73.96862790000002,40.7604014,2
67421,1968.0,80525250.0,-73.96792370000001,40.7610352,3
67457,2017.0,12433950.0,-73.96127249999999,40.7582445,2
67492,1986.0,64124100.0,-73.9682622,40.7626684,3
67494,1983.0,37465650.0,-73.9657675,40.7632523,3
67719,1980.0,28366200.0,-73.9503412,40.784370200000005,3
67783,1986.0,33487200.0,-73.95346500000001,40.7788848,3
67798,2016.0,45243032.0,-73.9497095,40.7841037,2
67871,2015.0,10826998.0,-73.9483848,40.7787317,2
67984,1986.0,15457951.0,-73.9499145,40.7755649,3
68486,1986.0,94179150.0,-73.9482505,40.7842595,3
71037,1990.0,54751050.0,-73.9496288,40.785712100000005,3
75770,1975.0,32082750.0,-73.9147422,40.8786797,3
87209,1964.0,10835550.0,-73.8497698,40.7286881,3
92726,1965.0,10603350.0,-73.8245437,40.7529518,3
104634,1972.0,155994300.0,-73.71421529999999,40.7567794,3
125449,1987.0,31625107.0,-73.9826382,40.7705132,3
125470,2004.0,46685711.0,-73.98692890000001,40.7803043,2
126949,1987.0,83303100.0,-73.96936740000001,40.7613869,3
126950,1930.0,56063250.0,-73.9716797,40.7650874,0
127224,1973.0,38443050.0,-73.9478852,40.775879700000004,3
127235,1963.0,38385900.0,-73.9686484,40.762811299999996,3
127308,1972.0,173005200.0,-73.9763588,40.7635487,3
127311,1971.0,530128800.0,-73.9749905,40.763886,3
127313,1972.0,54757350.0,-73.9753801,40.7648111,3
127316,1930.0,112709700.0,-73.97318220000001,40.76324879999999,0
127785,1986.0,9350550.0,-73.9530288,40.777935,3
127788,1975.0,72144450.0,-73.95283979999999,40.7796147,3
127792,1987.0,21384450.0,-73.952051,40.7768641,3
128222,1984.0,37218631.0,-73.95496259999999,40.7855222,3
128308,1986.0,23308212.0,-73.94717709999999,40.7763542,3
129658,1929.0,74074500.0,-73.9718289,40.762348200000005,0
131635,1973.0,58627800.0,-74.0047358,40.7074098,3
131636,1929.0,14706000.0,-74.0055546,40.707763899999996,0
131637,1971.0,60690150.0,-74.0055437,40.706995299999996,3
131653,1931.0,39686400.0,-74.0058936,40.7074674,0
131682,2012.0,14818500.0,-74.0065068,40.7073905,2
131688,2015.0,28955700.0,-74.0063156,40.70721760000001,2
133422,2016.0,20632050.0,-74.0079643,40.7106348,2
133423,1961.0,87223500.0,-74.00839,40.710870799999995,3
134427,2006.0,57322824.0,-74.01696290000001,40.706975,2
134440,1988.0,40938298.0,-74.01659520000001,40.707622799999996,3
134441,2008.0,73411851.0,-74.01475390000002,40.7159726,2
135790,1987.0,36971553.0,-74.01805999999999,40.7090773,3
135824,2016.0,14813550.0,-74.0050711,40.705746500000004,2
143266,1931.0,94093869.0,-73.9760405,40.7652476,0
143281,2017.0,22414506.0,-73.9535472,40.7800294,2
143775,1986.0,15809859.0,-73.96279,40.7622029,3
144100,2002.0,50614650.0,-74.0161357,40.716573600000004,2
146148,1952.0,295458750.0,-73.9674669,40.750349799999995,3
146941,1965.0,17986500.0,-73.83956500000001,40.7202507,3
149797,2012.0,18832950.0,-74.0073692,40.710876299999995,2
149895,1968.0,769333500.0,-73.9724348,40.76360820000001,3
150651,2000.0,40987358.0,-74.0158328,40.7172708,2
150653,2006.0,65947513.0,-74.0162726,40.716104200000004,2
150869,2016.0,63582750.0,-73.9646572,40.719525399999995,2
151155,2009.0,278424000.0,-74.0144434,40.714723799999994,2
151166,1983.0,26330850.0,-74.0132658,40.7065418,3
152243,1986.0,8803383.0,-73.9616623,40.7584093,3
153415,1974.0,6175800.0,-73.9919854,40.768469399999994,3
153574,2004.0,67095000.0,-73.93782519999999,40.8309888,2
153703,1965.0,50873347.0,-73.9603495,40.7626303,3
153756,1982.0,40387575.0,-73.9704325,40.7528565,3
153863,1984.0,56457009.0,-73.96764240000002,40.7531001,3
156691,1973.0,209690553.0,-74.0108426,40.7097535,3
156709,2004.0,28757250.0,-73.9866756,40.7470874,2
156717,2015.0,28171548.0,-73.9859421,40.751133,2
156725,1989.0,27929260.0,-73.9524777,40.7658551,3
156728,2008.0,25106851.0,-73.9841066,40.744383500000005,2
156742,1969.0,379534050.0,-73.97152709999999,40.759005,3
156759,1985.0,26127009.0,-73.9724419,40.755137899999994,3
156767,2002.0,89554950.0,-73.9876958,40.694602200000006,2
156851,2015.0,931377002.0,-74.00089870000001,40.753530100000006,2
157237,2020.0,5262300.0,-73.96072070000001,40.7268334,2
157310,1987.0,109677602.0,-73.9797447,40.764241,3
157354,2008.0,175776882.0,-73.9949718,40.7590386,2
157415,2015.0,44975250.0,-73.97887370000001,40.6877719,2
157498,1965.0,41244299.0,-73.9854166,40.7772849,3
157521,2007.0,24707304.0,-73.96396109999999,40.719344,2
157738,2018.0,0.0,-74.0085522,40.7271225,2
157771,2013.0,0.0,-73.98096579999999,40.7662265,2
157890,1950.0,105952050.0,-73.9877679,40.7535322,0
158136,1973.0,108782100.0,-73.97326120000001,40.7374235,3
158668,2019.0,21935700.0,-73.97995429999999,40.6914776,2
159214,2014.0,49409486.0,-73.95031,40.7826657,2
159490,2009.0,149303930.0,-73.9921372,40.767692700000005,2
159586,1971.0,25015276.0,-73.9702411,40.7935253,3
160197,2000.0,113738883.0,-73.96781949999999,40.7525622,2
160482,2001.0,15619507.0,-73.96696829999999,40.758561900000004,2
160559,2020.0,11897100.0,-73.9615278,40.7350926,2
160763,1981.0,42684313.0,-73.9828366,40.7711143,3
160882,2015.0,558725400.0,-73.9977045,40.7526764,2
160901,2003.0,22153954.0,-73.97278990000001,40.7605232,2
161252,1983.0,0.0,-74.0096552,40.7040571,3
161258,1988.0,38988027.0,-73.9955167,40.7601723,3
161336,2018.0,0.0,-73.9444556,40.7479627,2
161337,2013.0,0.0,-73.9810122,40.7665674,2
161354,2013.0,0.0,-73.9808008,40.7664805,2
161355,2015.0,0.0,-73.9812105,40.7666495,2
161390,2017.0,0.0,-73.80677990000001,40.7005387,2
161732,2006.0,36336032.0,-73.9870561,40.702002,2
161759,1997.0,86420157.0,-73.98270579999999,40.7745041,2
161766,1992.0,63762750.0,-74.0003824,40.7137009,3
162232,2017.0,0.0,-73.9839715,40.7454574,2
162263,1964.0,0.0,-73.97268840000001,40.7513122,3
162309,2018.0,0.0,-73.95965509999999,40.8116213,2
162540,2014.0,42613362.0,-73.9714191,40.7583079,2
162551,2012.0,44061820.0,-73.9773633,40.7608069,2
162563,2008.0,22579200.0,-73.98221240000001,40.7563119,2
162579,2008.0,95029649.0,-74.0090359,40.7127756,2
162654,1986.0,85567945.0,-73.9792897,40.7647185,3
162655,2014.0,44699760.0,-73.9931887,40.75827279999999,2
162768,2012.0,28399500.0,-73.9796128,40.687991600000004,2
162887,2013.0,125160.0,-73.98609499999999,40.6235973,2
163003,1930.0,47253186.0,-73.976896,40.76542620000001,0
163013,2007.0,16042500.0,-73.9875247,40.7610335,2
163022,2005.0,131697000.0,-73.9992347,40.7607899,2
163027,1963.0,246072150.0,-73.9797127,40.7624432,3
163035,1986.0,42397217.0,-73.9736751,40.7492096,3
163042,1973.0,204570453.0,-73.976086,40.7591982,3
163047,1930.0,114834289.0,-73.9785167,40.7661731,0
163097,2018.0,18306764.0,-73.9814192,40.6884174,2
163113,2015.0,35398800.0,-73.98656629999999,40.6980989,2
163932,1995.0,219255300.0,-73.9861968,40.7586262,2
163963,1962.0,79116300.0,-73.97824190000001,40.7562673,3
163977,1997.0,117609299.0,-73.9879916,40.693811700000005,2
163982,2002.0,128620800.0,-73.982488,40.765246000000005,2
163989,2012.0,17026202.0,-73.9745543,40.7530799,2
163995,1975.0,287401050.0,-73.98185129999999,40.7568196,3
163999,1923.0,142601850.0,-73.9768156,40.757965999999996,0
164005,1958.0,367586100.0,-73.97670649999999,40.7603703,3
164010,1989.0,242193143.0,-73.98484690000001,40.7580744,3
164013,1927.0,123580799.0,-73.975861,40.7526959,0
164020,2012.0,47791801.0,-73.9827084,40.764367799999995,2
164021,1986.0,159214950.0,-73.978013,40.760925,3
164023,1960.0,118553102.0,-73.97462420000001,40.7495666,3
164024,1930.0,154540930.0,-73.973351,40.7565023,0
164036,2012.0,23414400.0,-73.9856525,40.7551897,2
164037,1989.0,63349200.0,-73.9842223,40.7587852,3
164038,2007.0,47768428.0,-74.00540809999998,40.725305600000006,2
164039,1955.0,214297286.0,-73.9755188,40.750758000000005,3
164044,1928.0,106333652.0,-73.9731804,40.7497694,0
164049,1958.0,157638600.0,-73.9740311,40.7617806,3
164050,1950.0,16170750.0,-73.97815770000001,40.7600028,0
164053,2000.0,91532392.0,-73.9855902,40.7593919,2
164059,2007.0,165324150.0,-73.9895901,40.7566394,2
164064,2007.0,49829112.0,-73.9893965,40.7715982,2
164100,1986.0,81707685.0,-73.98585870000001,40.7700965,3
164105,1987.0,23796006.0,-73.9614605,40.7639756,3
164122,2007.0,51086711.0,-74.0062444,40.7176505,2
164152,1979.0,85265115.0,-73.98157309999999,40.77076829999999,3
164160,1992.0,149552675.0,-73.98147809999999,40.7748031,3
164161,2013.0,15825600.0,-73.9823015,40.7468562,2
164170,1930.0,23840554.0,-73.9833386,40.7704969,0
164174,2005.0,14701492.0,-73.96682309999998,40.7602609,2
164240,1962.0,45366541.0,-73.9872725,40.7771863,3
164290,2006.0,13490103.0,-73.9696365,40.796744700000005,2
164296,1950.0,75243140.0,-73.96176190000001,40.7672886,0
164309,2008.0,22912202.0,-73.97069090000001,40.7971649,2
164329,1996.0,21223346.0,-73.9592823,40.7723189,2
164341,1985.0,19298330.0,-73.9564421,40.7760205,3
164351,2005.0,147694487.0,-73.9813928,40.7698598,2
164397,2013.0,103796265.0,-73.9964987,40.75875870000001,2
164417,2017.0,43811573.0,-73.93619809999998,40.749131799999994,2
164425,1964.0,58001851.0,-73.98617879999999,40.7759208,3
164440,1978.0,126786627.0,-73.98423840000001,40.7668245,3
164464,1931.0,75084930.0,-74.0095687,40.7054608,0
164485,2015.0,34845133.0,-73.9979714,40.7576828,2
164486,2007.0,21769364.0,-73.9827016,40.6931935,2
164494,2004.0,703072485.0,-73.9830936,40.7684685,2
164497,1973.0,26184589.0,-73.9606953,40.77608789999999,3
164501,1987.0,46296477.0,-73.98303620000002,40.7670851,3
164514,2010.0,124495293.0,-73.99028100000001,40.7471289,2
164523,1986.0,43831354.0,-73.98746740000001,40.7395394,3
164533,1982.0,34129419.0,-74.0117869,40.7060205,3
164554,1982.0,38755789.0,-73.9845739,40.7679609,3
164574,1982.0,32227196.0,-73.9832954,40.769989100000004,3
164605,2007.0,23540101.0,-73.9444507,40.8027655,2
164613,1995.0,64895518.0,-73.98179240000002,40.7740758,2
164616,1967.0,35482579.0,-73.9650782,40.7630161,3
164629,2013.0,39505500.0,-73.98397609999999,40.746990999999994,2
164634,1965.0,34751345.0,-73.9843083,40.7767852,3
164674,1913.0,68650149.0,-74.00832890000001,40.7124573,0
164690,2000.0,26730450.0,-73.9938997,40.758530799999996,2
164699,2005.0,63276703.0,-74.01035859999999,40.7053674,2
164727,2004.0,56731508.0,-73.9860356,40.7527744,2
164746,1999.0,28821602.0,-73.9808618,40.7711442,2
164763,1985.0,74015968.0,-73.9526503,40.766857,3
164802,2008.0,144359100.0,-73.99877990000002,40.761531,2
164815,1989.0,94229700.0,-73.98849179999999,40.7628808,3
164826,1988.0,33234747.0,-73.98583670000001,40.7715594,3
164832,1986.0,42908844.0,-73.9655911,40.762365700000004,3
164841,1973.0,22845649.0,-73.9696392,40.7908106,3
164845,1962.0,61273580.0,-73.986561,40.77845429999999,3
164850,2003.0,29617211.0,-73.98219940000001,40.7509651,2
164853,2015.0,17155800.0,-73.93722220000001,40.7500985,2
164868,1984.0,30842562.0,-73.95679150000001,40.7661395,3
164875,1963.0,38732401.0,-73.98597640000001,40.7765466,3
164879,1990.0,30384917.0,-73.9789605,40.744020299999995,3
164882,2015.0,51803099.0,-73.9821859,40.6932373,2
164891,2007.0,37976407.0,-73.95752879999999,40.770506700000006,2
164898,1928.0,71506458.0,-74.0097349,40.707727899999995,0
164907,2004.0,92374669.0,-73.9922719,40.757872,2
164909,2014.0,82530901.0,-73.989855,40.7477931,2
164923,2015.0,72936000.0,-73.9423493,40.7476693,2
164930,1970.0,136530023.0,-73.9814068,40.7715149,3
164947,2017.0,39655785.0,-73.9862031,40.7456326,2
164948,1962.0,46261352.0,-73.9868427,40.7778505,3
164975,1913.0,91610606.0,-74.01058959999999,40.7065311,0
164983,2007.0,34110006.0,-73.967569,40.7555731,2
165032,2005.0,63764573.0,-73.98486020000001,40.747328700000004,2
165054,2016.0,25594222.0,-73.9836367,40.7474054,2
165056,1991.0,46581300.0,-73.9877972,40.770898100000004,3
165071,1998.0,34579346.0,-73.9849779,40.7695062,2
165090,1979.0,32652648.0,-73.9826939,40.764686100000006,3
165138,1910.0,31155222.0,-74.00695470000001,40.7142661,0
165163,2013.0,50956200.0,-74.0017036,40.7519848,2
165171,1986.0,24530465.0,-73.96197420000001,40.7683646,3
165186,2015.0,10400216.0,-73.94152740000001,40.7466286,2
165231,1930.0,25753950.0,-74.0027994,40.7189434,0
165631,2018.0,52586550.0,-73.9832251,40.776966200000004,2
165690,1974.0,9774000.0,-73.9353713,40.8015311,3
169422,2010.0,31244400.0,-73.991031,40.7517923,2
169438,2002.0,14914350.0,-73.9868304,40.7487644,2
169487,1971.0,42648300.0,-73.97204920000001,40.753479999999996,3
169774,2017.0,348648750.0,-74.0015773,40.7527011,2
177662,1926.0,11339100.0,-73.9491704,40.8138289,0
178906,1973.0,24313950.0,-73.98827370000001,40.7710986,3
199579,1927.0,22449150.0,-73.9719865,40.7565953,0
199580,1985.0,13761450.0,-73.9713947,40.7563371,3
199675,1926.0,33238350.0,-73.9781136,40.7624347,0
199693,1956.0,74338650.0,-74.01146240000001,40.706613399999995,3
199707,1932.0,52962750.0,-74.01165350000001,40.706272999999996,0
199714,1912.0,66271950.0,-74.0107629,40.7076263,0
199715,2002.0,32504850.0,-74.0081948,40.707363,2
199716,1907.0,31275450.0,-74.0131688,40.70808710000001,0
199722,1929.0,46988232.0,-74.0087752,40.7056282,0
199729,2017.0,36254250.0,-74.01298129999999,40.708408299999995,2
199731,1983.0,27614700.0,-74.0130242,40.706854799999995,3
199733,1913.0,48196350.0,-74.01283670000001,40.7071046,0
199737,1961.0,90820350.0,-74.0119996,40.705312299999996,3
199741,2014.0,17689050.0,-74.012664,40.7093333,2
199758,2006.0,57694950.0,-74.00914399999999,40.7122184,2
199759,1927.0,30617550.0,-74.00865340000001,40.7119906,0
199762,2017.0,14684400.0,-74.0097935,40.713725200000006,2
199788,1916.0,72030600.0,-74.00976429999999,40.710851500000004,0
199790,1961.0,38121300.0,-74.010244,40.7111396,3
200094,2018.0,284506650.0,-73.9995885,40.7552291,2
200098,2015.0,32611950.0,-74.0024363,40.7524321,2
200107,2008.0,35354700.0,-74.0032989,40.752802700000004,2
200110,2020.0,12380400.0,-74.00042590000001,40.757361700000004,2
200114,2015.0,30221100.0,-73.9986681,40.7546801,2
200117,2020.0,13215150.0,-73.99889190000002,40.75561879999999,2
200122,2015.0,250567650.0,-74.001765,40.75524,2
200133,2016.0,51858450.0,-73.99904709999998,40.756538299999995,2
